City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
290,Albury,AU,-36.0833,146.9167,51.33,100,6.91,overcast clouds
291,Vardo,NO,70.3705,31.1107,40.98,100,13.8,overcast clouds
292,Kloulklubed,PW,7.0419,134.2556,82.9,100,4.7,overcast clouds
293,Vila,PT,42.0304,-8.1588,57.7,99,5.17,overcast clouds
294,Atar,MR,20.5169,-13.0499,93.6,0,12.26,clear sky
295,Worthing,GB,50.8145,-0.3713,64.42,100,5.44,overcast clouds
296,Mamallapuram,IN,12.6264,80.1722,84.25,100,12.1,overcast clouds
297,Maan,PH,5.9339,124.7356,83.62,100,1.41,overcast clouds
298,Suwannaphum,TH,15.6035,103.8021,88.86,49,7.29,scattered clouds
299,Meridian,US,43.6121,-116.3915,82.85,0,12.66,clear sky
300,Amahai,ID,-3.3333,128.9167,82.54,16,1.66,few clouds
301,Opuwo,NA,-18.0607,13.84,57.2,4,4.99,clear sky
302,La Palma,US,33.8464,-118.0467,88.66,0,10.36,clear sky
303,Lompoc,US,34.6391,-120.4579,72.7,0,28.01,clear sky
304,Vestmannaeyjar,IS,63.4427,-20.2734,48.94,100,21.05,overcast clouds
305,Griffith,US,41.5284,-87.4237,88.95,0,12.66,clear sky
306,Mahajanga,MG,-15.7167,46.3167,69.82,0,3.44,clear sky
307,Elizabeth City,US,36.2946,-76.2511,78.82,0,5.75,clear sky
308,Surman,LY,32.7567,12.5716,77.59,0,9.51,clear sky
309,Leopoldov,SK,48.4458,17.7646,58.62,71,1.99,broken clouds
310,Oranjestad,AW,12.524,-70.027,80.91,18,27.98,few clouds
311,Weligama,LK,5.9667,80.4167,77.85,100,8.23,overcast clouds
312,Kem,RU,64.9555,34.5793,46.44,100,12.26,overcast clouds
313,Hornostayivka,UA,47.0078,33.729,66.56,13,3.62,few clouds
314,Zhezkazgan,KZ,47.8043,67.7144,69.12,0,5.46,clear sky
315,Tezu,IN,27.9167,96.1667,71.67,100,3.67,light rain
316,Tanete,ID,-3.9443,119.7848,80.98,66,6.44,broken clouds
317,Ngunguru,NZ,-35.6167,174.5,61.52,98,3.36,overcast clouds
318,Shingu,JP,33.7333,135.9833,77.04,100,2.64,overcast clouds
319,Tual,ID,-5.6667,132.75,82.74,21,16.33,few clouds
320,San Pedro De Ycuamandiyu,PY,-24.0917,-57.0764,69.73,61,4.43,broken clouds
321,Sulangan,PH,11.1373,123.7228,84.02,5,5.19,clear sky
322,Andenes,NO,69.3143,16.1194,44.58,75,12.66,broken clouds
323,Faya,SA,18.3851,42.4509,63.12,2,3.83,clear sky
324,Boyolangu,ID,-8.1181,111.8935,80.08,11,1.01,few clouds
325,Tazovskiy,RU,67.4667,78.7,49.6,23,13.98,few clouds
326,Severodvinsk,RU,64.5635,39.8302,55.51,100,8.72,overcast clouds
327,Kasongo-Lunda,CD,-6.4667,16.8167,68.11,26,0.92,scattered clouds
328,Kimbe,PG,-5.5502,150.1429,86.88,25,3.2,scattered clouds
329,Stornoway,GB,58.2093,-6.3865,53.92,75,23.02,moderate rain
330,Paros,GR,37.0833,25.15,72.99,0,14.97,clear sky
331,Omboue,GA,-1.5746,9.2618,71.46,100,5.19,overcast clouds
332,Pangnirtung,CA,66.1451,-65.7125,31.5,97,3.31,overcast clouds
333,Carolina,PR,18.3808,-65.9574,82.29,0,6.91,clear sky
334,Santana Do Mundau,BR,-9.1681,-36.2222,68.27,100,4.32,overcast clouds
335,Novyy Urengoy,RU,66.0833,76.6333,57.36,52,17.98,broken clouds
336,Pandamatenga,BW,-18.5278,25.627,51.44,0,5.61,clear sky
337,Lagos,NG,6.5833,3.75,74.86,99,5.73,overcast clouds
338,Ponta Delgada,PT,37.7333,-25.6667,69.49,75,6.91,broken clouds
339,Lodwar,KE,3.1191,35.5973,81.19,27,18.86,scattered clouds
340,Ribera,IT,37.4984,13.2642,73.26,0,2.44,clear sky
341,Karratha,AU,-20.7377,116.8463,76.59,84,10.38,broken clouds
342,Vicuna,CL,-30.0319,-70.7081,46.13,0,0.85,clear sky
343,Bambous Virieux,MU,-20.3428,57.7575,70.21,20,1.14,few clouds
344,Marawi,PH,7.9986,124.2928,79.02,61,2.35,broken clouds
345,Tlalchapa,MX,18.4,-100.4667,80.33,100,2.62,overcast clouds
346,Agadez,NE,19.75,10.25,85.42,100,1.72,overcast clouds
347,Vytegra,RU,61.0064,36.4481,48.22,100,11.27,overcast clouds
348,Nemuro,JP,43.3236,145.575,53.46,88,3.74,overcast clouds
349,Motegi,JP,36.5167,140.1833,76.05,100,2.01,light rain
350,Namatanai,PG,-3.6667,152.4333,83.95,26,10.18,scattered clouds
351,Ahipara,NZ,-35.1667,173.1667,62.08,100,4.9,light rain
352,Severomuysk,RU,56.1481,113.4267,60.84,71,2.21,broken clouds
353,Zenzeli,RU,45.9241,47.0474,70.07,0,9.31,clear sky
354,Fortuna,US,40.5982,-124.1573,58.93,100,9.22,overcast clouds
355,Kungurtug,RU,50.5994,97.5228,59.32,100,1.25,overcast clouds
356,Klaksvik,FO,62.2266,-6.589,50.92,100,20.96,light rain
357,Puri,IN,19.8,85.85,84.72,100,19.84,overcast clouds
358,Ouesso,CG,1.6136,16.0517,69.28,100,0.87,moderate rain
359,Gora,PL,51.6664,16.5349,55.18,69,7.02,broken clouds
360,Mehran,IR,33.1222,46.1646,85.5,0,11.83,clear sky
361,Clyde River,CA,70.4692,-68.5914,30.27,100,31.36,snow
362,Carauari,BR,-4.8828,-66.8958,71.91,100,1.12,overcast clouds
363,Ufa,RU,54.775,56.0375,61.97,100,2.51,overcast clouds
364,Invermere,CA,50.5167,-116.0354,61.43,100,4.92,overcast clouds
365,Robeasca,RO,45.1667,27.1333,63.37,2,7.38,clear sky
