City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Buluang,PH,2022-06-06 00:29:38,13.3068,123.3425,83.59,73,82,1.97
184,Yelets,RU,2022-06-06 00:29:38,52.6237,38.5017,49.55,93,7,7.9
185,Bereda,ES,2022-06-06 00:29:39,43.2686,-7.5406,57.58,74,100,2.59
186,Port Elizabeth,ZA,2022-06-06 00:29:39,-33.918,25.5701,54.32,90,0,6.91
187,Nome,US,2022-06-06 00:29:39,64.5011,-165.4064,68.16,36,0,12.66
188,Airai,TL,2022-06-06 00:29:40,-8.9266,125.4092,65.7,77,99,2.75
189,Tomakomai,JP,2022-06-06 00:30:40,42.6369,141.6033,51.94,82,75,12.66
190,Khatanga,RU,2022-06-06 00:30:40,71.9667,102.5,31.55,80,100,6.8
191,Katsuura,JP,2022-06-06 00:30:41,35.1333,140.3,63.0,90,100,21.18
192,Bac Lieu,VN,2022-06-06 00:30:41,9.285,105.7244,83.7,73,6,9.55
193,Arman,RU,2022-06-06 00:30:41,59.7,150.1667,66.02,80,98,7.02
194,Rosario Oeste,BR,2022-06-06 00:30:42,-14.8361,-56.4275,76.28,45,16,4.07
195,Borogontsy,RU,2022-06-06 00:30:42,62.6683,131.1683,78.8,36,5,3.67
196,Vao,NC,2022-06-06 00:30:43,-22.6667,167.4833,73.26,71,25,7.34
197,Peniche,PT,2022-06-06 00:30:43,39.3558,-9.3811,62.11,85,98,9.93
198,Noumea,NC,2022-06-06 00:30:05,-22.2763,166.4572,80.58,99,0,5.01
199,Amparafaravola,MG,2022-06-06 00:30:43,-17.5833,48.2167,57.92,96,93,4.16
200,Topeka,US,2022-06-06 00:28:10,39.0483,-95.678,77.11,72,40,6.91
201,Anahuac,MX,2022-06-06 00:30:44,27.2333,-100.15,100.83,20,28,12.64
202,Bilibino,RU,2022-06-06 00:30:44,68.0546,166.4372,39.58,46,100,10.45
203,Takoradi,GH,2022-06-06 00:30:45,4.8845,-1.7554,76.82,88,98,8.52
204,Toumodi,CI,2022-06-06 00:30:45,6.5613,-5.0158,72.01,97,100,5.64
205,Grindavik,IS,2022-06-06 00:30:45,63.8424,-22.4338,46.35,75,75,6.91
