City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
644,Felipe Carrillo Puerto,MX,77.25,19.5833,-88.05,few clouds,Hotel La Ceiba
645,Ishigaki,JP,82.53,24.3448,124.1572,broken clouds,Hotel Peace Land Ishigakijima
646,Glendive,US,79.48,47.1053,-104.7125,clear sky,Super 8 by Wyndham Glendive
647,Koutiala,ML,79.29,12.3917,-5.4642,broken clouds,Hotel La Chaumiere
649,Venezuela,VE,78.48,8.0,-66.0,few clouds,
651,Lewistown,US,79.2,40.5992,-77.5714,broken clouds,Quality Inn & Suites
654,Tiarei,PF,82.42,-17.5333,-149.3333,scattered clouds,Le Rocher de Tahiti
655,Porto Novo,BJ,78.62,6.4965,2.6036,light rain,Tour Eiffel Hotel Benin
656,Moorhead,US,75.22,46.8739,-96.7676,few clouds,"Courtyard by Marriott Fargo Moorhead, MN"
658,Bam,IR,88.48,29.106,58.357,clear sky,Bam Tourist Hotel
660,Mundo Nuevo,MX,81.88,18.7,-95.5,clear sky,
661,Zhangye,CN,80.22,38.9342,100.4517,scattered clouds,Zhangye Lvzhou Holiday Inn
668,Qinzhou,CN,84.52,21.95,108.6167,overcast clouds,Jinjiang Inn Style Qingzhou Walmart
669,Havelock,US,80.55,34.8791,-76.9013,few clouds,Sherwood Motel
680,Buala,SB,83.28,-8.145,159.5921,light rain,Maringe Lagoon Lodge
